Date,XLY Adjusted Close,XLE Adjusted Close,XLF Adjusted Close,XLI Adjusted Close,XLB Adjusted Close,FRESX Adjusted Close,XLK Adjusted Close,XLU Adjusted Close,SP500 Adjusted Close,Date_CPI,CPI_EOM
2017-05-12,89.88,67.75,23.56,66.3,52.61,41.14,55.56,51.73,2390.9,2017-04-30,244.158
2017-05-11,90.01,67.98,23.66,66.67,52.74,41.46,55.42,51.48,2394.44,2017-03-31,243.752
2017-05-10,90.55,68.12,23.81,66.69,52.82,41.46,55.49,51.41,2399.63,2017-02-28,244.456
2017-05-09,90.86,67.23,23.73,66.83,52.65,41.15,55.28,51.33,2396.92,2017-01-31,244.158
2017-05-08,90.34,67.79,23.82,66.74,53.05,41.33,55.21,51.71,2399.38,2016-12-31,242.821
2017-05-05,90.17,67.31,23.84,66.92,53.48,41.54,54.97,51.73,2399.29,2016-11-30,242.199
2017-05-04,89.61,66.26,23.88,66.58,52.73,41.24,54.77,51.45,2389.52,2016-10-31,241.694
2017-05-03,89.75,67.5,23.84,66.51,52.67,41.25,54.81,51.27,2388.13,2016-09-30,241.006
2017-05-02,90.28,67.31,23.65,66.46,53.19,41.77,54.91,51.45,2391.17,2016-08-31,240.389
2017-05-01,90.18,67.65,23.68,66.14,53.1,41.83,54.79,51.39,2388.33,2016-07-31,239.898
2017-04-28,90.06,67.84,23.53,66.34,53.07,41.59,54.38,51.7,2384.2,2016-06-30,239.842
2017-04-27,90.42,67.79,23.76,66.65,53.52,41.96,54.24,51.95,2388.77,2016-05-31,239.362
2017-04-26,89.94,68.54,23.87,66.67,53.64,42.06,54.02,51.77,2387.45,2016-04-30,238.908
2017-04-25,89.52,68.77,23.89,66.66,53.65,42.49,54.08,51.93,2388.61,2016-03-31,238.078
2017-04-24,88.82,68.19,23.68,66.34,52.8,42.24,53.8,52,2374.15,2016-02-29,237.808
2017-04-21,88.25,67.79,23.16,65.41,52.2,42.67,53.17,51.73,2348.69,2016-01-31,238.106
2017-04-20,88.45,68.13,23.4,65.35,52.26,42.81,53.28,51.47,2355.84,2015-12-31,237.846
2017-04-19,87.53,67.8,23.01,64.57,51.69,42.85,52.8,51.67,2338.17,2015-11-30,238.153
2017-04-18,87.45,68.81,23.08,64.51,51.62,42.97,52.84,52.03,2342.19,2015-10-31,237.792
2017-04-17,87.44,69.46,23.3,64.72,51.68,42.87,52.85,51.91,2349.01,2015-09-30,237.467
