Date,Value,Date2,Value2
1984-03-01,102.90,1984-03-01,1102.900
2010-06-01,217.19,2004-06-01,1188.900
2016-10-01,241.69,2016-10-01,2241.694
2017-04-01,244.15,1993-10-01,1145.600
2017-03-01,243.75,2017-03-01,2243.752
2017-02-01,244.45,2017-02-01,2244.456
2017-01-01,244.15,2017-01-01,2244.158
2016-12-01,242.82,2016-12-01,2242.821
2016-11-01,242.19,2016-11-01,2242.199
2016-09-01,241.00,2016-09-01,2241.006
2016-08-01,240.38,2016-08-01,2240.389
2016-07-01,239.89,2016-07-01,2239.898
2016-06-01,239.84,2016-06-01,2239.842
2016-05-01,239.36,2016-05-01,2239.362
2016-04-01,238.90,2016-04-01,2238.908
2016-03-01,238.07,2016-03-01,2238.078
2016-02-01,237.80,2016-02-01,2237.808
2016-01-01,238.10,2016-01-01,2238.106
2015-12-01,237.84,2015-12-01,2237.846
2015-11-01,238.15,2015-11-01,2238.153
2015-10-01,237.79,2015-10-01,2237.792
2015-09-01,237.46,2015-09-01,2237.467
2015-08-01,237.81,2015-08-01,2237.811
2015-07-01,237.87,2015-07-01,2237.876
2015-06-01,237.41,2015-06-01,2237.419
2015-05-01,236.89,2015-05-01,2236.891
2015-04-01,236.20,2015-04-01,2236.201
2015-03-01,235.98,2015-03-01,2235.989
2015-02-01,235.48,2015-02-01,2235.489
2015-01-01,234.91,2015-01-01,2234.913
2014-12-01,236.29,2014-12-01,2236.290
2014-11-01,237.11,2014-11-01,2237.118
2014-10-01,237.50,2014-10-01,2237.506
2014-09-01,237.48,2014-09-01,2237.486
2014-08-01,237.25,2014-08-01,2237.256
2014-07-01,237.42,2014-07-01,2237.424
2014-06-01,237.02,2014-06-01,2237.029
2014-05-01,236.83,2014-05-01,2236.832
2014-04-01,236.47,2014-04-01,2236.471
2014-03-01,235.97,2014-03-01,2235.978
2014-02-01,235.67,2014-02-01,2235.672
2014-01-01,235.38,2014-01-01,2235.385
2013-12-01,234.72,2013-12-01,2234.723
2013-11-01,234.12,2013-11-01,2234.121
2013-10-01,233.71,2013-10-01,2233.718
2013-09-01,233.63,2013-09-01,2233.632
2013-08-01,233.32,2013-08-01,2233.323
2013-07-01,232.88,2013-07-01,2232.889
2013-06-01,232.37,2013-06-01,2232.374
2013-05-01,231.91,2013-05-01,2231.916
2013-04-01,231.79,2013-04-01,2231.795
2013-03-01,232.29,2013-03-01,2232.299
2013-02-01,232.98,2013-02-01,2232.985
2013-01-01,231.61,2013-01-01,2231.612
2012-12-01,231.22,2012-12-01,2231.221
2012-11-01,231.24,2012-11-01,2231.249
2012-10-01,231.63,2012-10-01,2231.638
2012-09-01,231.01,2012-09-01,2231.015
2012-08-01,229.91,2012-08-01,2229.918
2012-07-01,228.59,2012-07-01,2228.590
2012-06-01,228.52,2012-06-01,2228.524
2012-05-01,228.71,2012-05-01,2228.713
2012-04-01,229.18,2012-04-01,2229.187
2012-03-01,228.80,2012-03-01,2228.807
2012-02-01,228.32,2012-02-01,2228.329
2012-01-01,227.84,2012-01-01,2227.842
2011-12-01,227.22,2011-12-01,2227.223
2011-11-01,227.16,2011-11-01,2227.169
2011-10-01,226.75,2011-10-01,2226.750
2011-09-01,226.59,2011-09-01,2226.597
2011-08-01,226.10,2011-08-01,2226.106
2011-07-01,225.39,2011-07-01,2225.395
2011-06-01,224.80,2011-06-01,2224.806
2011-05-01,224.80,2011-05-01,2224.806
2011-04-01,224.09,2011-04-01,2224.093
2011-03-01,223.04,2011-03-01,2223.046
2011-02-01,221.89,2011-02-01,2221.898
2011-01-01,221.18,2011-01-01,2221.187
2010-12-01,220.47,2010-12-01,2220.472
2010-11-01,219.59,2010-11-01,2219.590
2010-10-01,219.03,2010-10-01,2219.035
2010-09-01,218.27,2010-09-01,2218.275
