Date,Value,Date2,Value2
1960-12-01,29.81,1960-12-01,229.81
1960-11-01,29.78,1960-11-01,229.78
1960-10-01,29.75,1960-10-01,229.75
1960-09-01,29.61,1960-09-01,229.61
1960-08-01,29.61,1960-08-01,229.61
1960-07-01,29.55,1960-07-01,229.55
1960-06-01,29.61,1960-06-01,229.61
1960-05-01,29.57,1960-05-01,229.57
1960-04-01,29.54,1960-04-01,229.54
1960-03-01,29.41,1960-03-01,229.41
1960-02-01,29.41,1960-02-01,229.41
1960-01-01,29.37,1960-01-01,229.37
1959-12-01,29.41,1959-12-01,229.41
1959-11-01,29.35,1959-11-01,229.35
1959-10-01,29.35,1959-10-01,229.35
1959-09-01,29.25,1959-09-01,229.25
1959-08-01,29.18,1959-08-01,229.18
1959-07-01,29.15,1959-07-01,229.15
1959-06-01,29.11,1959-06-01,229.11
1959-05-01,29.04,1959-05-01,229.04
1959-04-01,28.98,1959-04-01,228.98
1959-03-01,28.97,1959-03-01,228.97
1959-02-01,29.00,1959-02-01,229.00
1959-01-01,29.01,1959-01-01,229.01
1958-12-01,28.97,1958-12-01,228.97
1958-11-01,28.95,1958-11-01,228.95
1958-10-01,28.91,1958-10-01,228.91
1958-09-01,28.91,1958-09-01,228.91
1958-08-01,28.94,1958-08-01,228.94
1958-07-01,28.89,1958-07-01,228.89
1958-06-01,28.91,1958-06-01,228.91
1958-05-01,28.94,1958-05-01,228.94
1958-04-01,28.94,1958-04-01,228.94
1958-03-01,28.87,1958-03-01,228.87
1958-02-01,28.70,1958-02-01,228.70
1958-01-01,28.64,1958-01-01,228.64
1957-12-01,28.47,1957-12-01,228.47
1957-11-01,28.41,1957-11-01,228.41
1957-10-01,28.32,1957-10-01,228.32
1957-09-01,28.32,1957-09-01,228.32
1957-08-01,28.28,1957-08-01,228.28
1957-07-01,28.19,1957-07-01,228.19
1957-06-01,28.11,1957-06-01,228.11
1957-05-01,28.00,1957-05-01,228.00
1957-04-01,27.93,1957-04-01,227.93
1957-03-01,27.86,1957-03-01,227.86
1957-02-01,27.80,1957-02-01,227.80
1957-01-01,27.67,1957-01-01,227.67
1956-12-01,27.63,1956-12-01,227.63
1956-11-01,27.51,1956-11-01,227.51
1956-10-01,27.51,1956-10-01,227.51
1956-09-01,27.35,1956-09-01,227.35
1956-08-01,27.31,1956-08-01,227.31
1956-07-01,27.29,1956-07-01,227.29
1956-06-01,27.15,1956-06-01,227.15
1956-05-01,27.03,1956-05-01,227.03
1956-04-01,26.93,1956-04-01,226.93
1956-03-01,26.89,1956-03-01,226.89
1956-02-01,26.86,1956-02-01,226.86
1956-01-01,26.83,1956-01-01,226.83
1955-12-01,26.87,1955-12-01,226.87
1955-11-01,26.88,1955-11-01,226.88
1955-10-01,26.82,1955-10-01,226.82
1955-09-01,26.85,1955-09-01,226.85
1955-08-01,26.72,1955-08-01,226.72
1955-07-01,26.76,1955-07-01,226.76
1955-06-01,26.71,1955-06-01,226.71
1955-05-01,26.77,1955-05-01,226.77
1955-04-01,26.79,1955-04-01,226.79
1955-03-01,26.79,1955-03-01,226.79
1955-02-01,26.82,1955-02-01,226.82
1955-01-01,26.77,1955-01-01,226.77
1954-12-01,26.77,1954-12-01,226.77
1954-11-01,26.78,1954-11-01,226.78
1954-10-01,26.72,1954-10-01,226.72
1954-09-01,26.81,1954-09-01,226.81
1954-08-01,26.85,1954-08-01,226.85
1954-07-01,26.86,1954-07-01,226.86
1954-06-01,26.94,1954-06-01,226.94
1954-05-01,26.93,1954-05-01,226.93
1954-04-01,26.86,1954-04-01,226.86
1954-03-01,26.93,1954-03-01,226.93
1954-02-01,26.99,1954-02-01,226.99
1954-01-01,26.94,1954-01-01,226.94
1953-12-01,26.87,1953-12-01,226.87
1953-11-01,26.85,1953-11-01,226.85
1953-10-01,26.95,1953-10-01,226.95
1953-09-01,26.89,1953-09-01,226.89
1953-08-01,26.85,1953-08-01,226.85
1953-07-01,26.79,1953-07-01,226.79
1953-06-01,26.77,1953-06-01,226.77
1953-05-01,26.70,1953-05-01,226.70
